key,id,name,kana,type,sort_level,grade,group_join,permit,del
nckimport,340,秋田支店_ローン推進班,秋田支店_ろーん推進班,1,289,,2,0,0
nckimport,339,秋田支店_貯金推進班,秋田支店_貯金推進班,1,288,,2,0,0
nckimport,338,秋田支店_総括班,秋田支店_総括班,1,287,,2,0,0
nckimport,335,秋田支店_窓口業務課,秋田支店_窓口業務課,1,285,,2,0,0
nckimport,334,秋田支店_公庫受託課,秋田支店_公庫受託課,1,284,,2,0,0
nckimport,333,秋田支店_農林水産環境事業班,秋田支店_農林水産環境事業班,1,283,,2,0,0
nckimport,332,秋田支店_総務班,秋田支店_総務班,1,282,,2,0,0
nckimport,328,山形支店_窓口業務課,山形支店_窓口業務課,1,280,,2,0,0
nckimport,327,山形支店_公庫受託課,山形支店_公庫受託課,1,279,,2,0,0
nckimport,326,山形支店_農林水産環境事業班,山形支店_農林水産環境事業班,1,278,,2,0,0
nckimport,325,山形支店_事務制度班,山形支店_事務制度班,1,277,,2,0,0
nckimport,324,山形支店_システム班,山形支店_しすてむ班,1,276,,2,0,0
nckimport,323,山形支店_人材育成班,山形支店_人材育成班,1,275,,2,0,0
nckimport,322,山形支店_経営サポート班,山形支店_経営さぽーと班,1,274,,2,0,0
nckimport,321,山形支店_総括班,山形支店_総括班,1,273,,2,0,0
nckimport,320,山形支店_総務班,山形支店_総務班,1,272,,2,0,0
nckimport,318,仙台支店_盛岡推進室,仙台支店_盛岡推進室,1,271,,2,0,0
nckimport,315,仙台支店_窓口業務課,仙台支店_窓口業務課,1,269,,2,0,0
nckimport,314,仙台支店_農林水産環境事業第二班,仙台支店_農林水産環境事業第二班,1,268,,2,0,0
nckimport,313,仙台支店_農林水産環境事業第一班,仙台支店_農林水産環境事業第一班,1,267,,2,0,0
nckimport,312,仙台支店_公庫受託課,仙台支店_公庫受託課,1,266,,2,0,0
nckimport,311,仙台支店_業務第六班,仙台支店_業務第六班,1,265,,2,0,0
nckimport,310,仙台支店_業務第五班,仙台支店_業務第五班,1,264,,2,0,0
nckimport,309,仙台支店_業務第四班,仙台支店_業務第四班,1,263,,2,0,0
nckimport,308,仙台支店_システム班,仙台支店_しすてむ班,1,262,,2,0,0
nckimport,307,仙台支店_業務第三班,仙台支店_業務第三班,1,261,,2,0,0
