key,id,p_key,p_id
csv,2100356,nckimport,282
csv,2100357,nckimport,283
csv,2100358,nckimport,284
csv,2100359,nckimport,285
csv,2100360,nckimport,286
csv,2100361,nckimport,287
csv,2100362,nckimport,288
csv,2100363,nckimport,288
csv,2100364,nckimport,288
csv,2100365,nckimport,289
csv,2100366,nckimport,290
csv,2100367,nckimport,291
csv,2100368,nckimport,292
csv,2100369,nckimport,293
csv,2100370,nckimport,294
csv,2100371,nckimport,295
csv,2100372,nckimport,296
csv,2100373,nckimport,297
csv,2100374,nckimport,299
csv,2100375,nckimport,300
csv,2100376,nckimport,301
csv,2100377,nckimport,301
csv,2100378,nckimport,301
csv,2100379,nckimport,302
csv,2100380,nckimport,303
csv,2100381,nckimport,304
csv,2100382,nckimport,305
csv,2100383,nckimport,306
csv,2100384,nckimport,307
csv,2100385,nckimport,308
csv,2100386,nckimport,309
csv,2100387,nckimport,310
csv,2100388,nckimport,311
csv,2100389,nckimport,312
csv,2100390,nckimport,313
csv,2100391,nckimport,314
csv,2100392,nckimport,316
csv,2100393,nckimport,317
csv,2100394,nckimport,318
csv,2100395,nckimport,319
csv,2100396,nckimport,319
